year,pollen_graminees_avg,pollen_graminees_first_day
1994,42.96376811594203,3
1995,44.24548736462094,12
1996,39.16151202749141,35
1997,38.788079470198674,16
1998,40.303030303030305,32
1999,39.09342560553633,16
2000,43.904761904761905,39
2001,43.42295081967213,30
2002,41.1578947368421,10
2003,41.52597402597402,22
2004,36.390728476821195,38
2005,32.59722222222222,29
2006,33.48453608247423,24
2007,39.70666666666666,1
2008,38.532051282051285,12
2009,30.63973063973064,35
2010,25.640776699029125,38
2011,31.65286624203822,0
2012,42.41379310344828,15
2013,40.52903225806452,10
2014,40.278481012658226,24
2015,38.33974358974359,3
2016,30.842443729903536,8
2017,26.438538205980066,15
2018,25.08169934640523,36
2019,29.934375,2
2020,30.356495468277945,10
2021,26.37539432176656,23
2022,39.12422360248447,6
2023,51.046783625730995,56
