year,PM10,NO2,O3
2011,26.6,38.3,40
2012,22.5,35,44.5
2013,22.5,36.5,38.5
2014,17.803098591549293,40.33565662440386,37.39793384633054
2015,20.428986301369864,40.725594821553535,38.91869122526027
2016,17.77532786885246,39.29009995296331,39.46429811536265
2017,17.55643835616438,38.42293333333333,42.13535624284078
2018,17.734794520547943,34.85595371669004,45.16393453879606
2019,16.994520547945207,35.37755373831776,45.73591470386462
2020,16.30710382513661,30.802651612152253,44.13884624145786
2021,15.792328767123287,29.41133348902382,43.54105804387569
2022,17.410136986301367,29.824682955206516,47.633702307516565
2023,13.562005494505494,28.451421900537007,48.088744673499946
