 

stn;time;ure200d0
GVE;19940101;81.5
GVE;19940102;90.2
GVE;19940103;81.9
GVE;19940104;73.5
GVE;19940105;65.8
GVE;19940106;92.7
GVE;19940107;90.2
GVE;19940108;85.9
GVE;19940109;87.5
GVE;19940110;89.6
GVE;19940111;91.0
GVE;19940112;81.9
GVE;19940113;73.6
GVE;19940114;82.9
GVE;19940115;82.2
GVE;19940116;92.0
GVE;19940117;79.4
GVE;19940118;70.8
GVE;19940119;79.4
GVE;19940120;75.8
GVE;19940121;71.3
GVE;19940122;75.6
GVE;19940123;83.9
GVE;19940124;92.1
GVE;19940125;88.8
GVE;19940126;69.8
GVE;19940127;74.6
GVE;19940128;64.5
GVE;19940129;57.7
GVE;19940130;66.6
GVE;19940131;75.6
GVE;19940201;80.1
GVE;19940202;61.2
GVE;19940203;72.8
GVE;19940204;88.5
GVE;19940205;80.9
GVE;19940206;90.3
GVE;19940207;85.6
GVE;19940208;86.2
GVE;19940209;79.2
GVE;19940210;71.5
GVE;19940211;70.1
GVE;19940212;67.0
GVE;19940213;68.2
GVE;19940214;72.8
GVE;19940215;91.1
GVE;19940216;85.2
GVE;19940217;75.6
GVE;19940218;75.3
GVE;19940219;77.8
GVE;19940220;84.2
GVE;19940221;75.6
GVE;19940222;64.0
GVE;19940223;87.2
GVE;19940224;84.0
GVE;19940225;71.4
GVE;19940226;71.1
GVE;19940227;78.0
GVE;19940228;81.9
GVE;19940301;84.2
GVE;19940302;70.9
GVE;19940303;83.0
GVE;19940304;60.8
GVE;19940305;65.9
GVE;19940306;75.6
GVE;19940307;66.9
GVE;19940308;67.8
GVE;19940309;73.6
GVE;19940310;72.7
GVE;19940311;76.3
GVE;19940312;61.1
GVE;19940313;69.5
GVE;19940314;74.1
GVE;19940315;66.4
GVE;19940316;62.2
GVE;19940317;63.3
GVE;19940318;62.5
GVE;19940319;53.9
GVE;19940320;64.9
GVE;19940321;78.0
GVE;19940322;73.1
GVE;19940323;67.3
GVE;19940324;63.0
GVE;19940325;57.2
GVE;19940326;62.8
GVE;19940327;55.2
GVE;19940328;54.8
GVE;19940329;58.3
GVE;19940330;67.1
GVE;19940331;58.4
GVE;19940401;67.5
GVE;19940402;79.8
GVE;19940403;75.2
GVE;19940404;78.9
GVE;19940405;62.9
GVE;19940406;81.8
GVE;19940407;87.7
GVE;19940408;75.6
GVE;19940409;74.6
GVE;19940410;73.9
GVE;19940411;61.5
GVE;19940412;83.3
GVE;19940413;71.9
GVE;19940414;84.1
GVE;19940415;76.8
GVE;19940416;82.0
GVE;19940417;80.8
GVE;19940418;73.9
GVE;19940419;71.4
GVE;19940420;86.4
GVE;19940421;78.2
GVE;19940422;67.9
GVE;19940423;58.3
GVE;19940424;69.9
GVE;19940425;82.4
GVE;19940426;66.0
GVE;19940427;71.5
GVE;19940428;67.4
GVE;19940429;66.7
GVE;19940430;66.8
GVE;19940501;63.9
GVE;19940502;51.9
GVE;19940503;53.8
GVE;19940504;71.2
GVE;19940505;62.0
GVE;19940506;65.7
GVE;19940507;66.1
GVE;19940508;70.4
GVE;19940509;84.5
GVE;19940510;74.6
GVE;19940511;76.4
GVE;19940512;89.7
GVE;19940513;74.7
GVE;19940514;65.1
GVE;19940515;62.2
GVE;19940516;68.0
GVE;19940517;69.4
GVE;19940518;87.6
GVE;19940519;79.2
GVE;19940520;81.8
GVE;19940521;83.7
GVE;19940522;78.4
GVE;19940523;61.3
GVE;19940524;82.7
GVE;19940525;67.8
GVE;19940526;87.6
GVE;19940527;66.8
GVE;19940528;72.6
GVE;19940529;80.9
GVE;19940530;83.1
GVE;19940531;75.2
GVE;19940601;76.6
GVE;19940602;74.2
GVE;19940603;65.1
GVE;19940604;61.4
GVE;19940605;66.8
GVE;19940606;68.1
GVE;19940607;66.5
GVE;19940608;64.8
GVE;19940609;63.2
GVE;19940610;69.1
GVE;19940611;68.6
GVE;19940612;66.5
GVE;19940613;64.8
GVE;19940614;63.0
GVE;19940615;63.2
GVE;19940616;60.5
GVE;19940617;58.9
GVE;19940618;56.5
GVE;19940619;66.1
GVE;19940620;79.5
GVE;19940621;66.9
GVE;19940622;63.8
GVE;19940623;66.9
GVE;19940624;69.2
GVE;19940625;70.9
GVE;19940626;80.4
GVE;19940627;74.2
GVE;19940628;68.8
GVE;19940629;63.7
GVE;19940630;64.4
GVE;19940701;64.5
GVE;19940702;57.4
GVE;19940703;60.9
