 

stn;time;kaaescd0
PGE;20040101;0
PGE;20040102;0
PGE;20040103;0
PGE;20040104;0
PGE;20040105;0
PGE;20040106;0
PGE;20040107;0
PGE;20040108;0
PGE;20040109;0
PGE;20040110;0
PGE;20040111;0
PGE;20040112;0
PGE;20040113;0
PGE;20040114;0
PGE;20040115;0
PGE;20040116;0
PGE;20040117;0
PGE;20040118;0
PGE;20040119;0
PGE;20040120;0
PGE;20040121;0
PGE;20040122;0
PGE;20040123;0
PGE;20040124;0
PGE;20040125;0
PGE;20040126;0
PGE;20040127;0
PGE;20040128;0
PGE;20040129;0
PGE;20040130;0
PGE;20040131;0
PGE;20040201;0
PGE;20040202;0
PGE;20040203;0
PGE;20040204;0
PGE;20040205;0
PGE;20040206;0
PGE;20040207;0
PGE;20040208;0
PGE;20040209;0
PGE;20040210;0
PGE;20040211;0
PGE;20040212;0
PGE;20040213;0
PGE;20040214;0
PGE;20040215;0
PGE;20040216;0
PGE;20040217;0
PGE;20040218;0
PGE;20040219;0
PGE;20040220;0
PGE;20040221;0
PGE;20040222;0
PGE;20040223;0
PGE;20040224;-
PGE;20040225;0
PGE;20040226;0
PGE;20040227;0
PGE;20040228;0
PGE;20040229;0
PGE;20040301;0
PGE;20040302;0
PGE;20040303;0
PGE;20040304;0
PGE;20040305;0
PGE;20040306;0
PGE;20040307;0
PGE;20040308;0
PGE;20040309;0
PGE;20040310;0
PGE;20040311;0
PGE;20040312;0
PGE;20040313;0
PGE;20040314;0
PGE;20040315;0
PGE;20040316;0
PGE;20040317;0
PGE;20040318;0
PGE;20040319;0
PGE;20040320;0
PGE;20040321;0
PGE;20040322;0
PGE;20040323;0
PGE;20040324;0
PGE;20040325;0
PGE;20040326;0
PGE;20040327;0
PGE;20040328;0
PGE;20040329;0
PGE;20040330;0
PGE;20040331;0
PGE;20040401;0
PGE;20040402;0
PGE;20040403;0
PGE;20040404;0
PGE;20040405;0
PGE;20040406;0
PGE;20040407;0
PGE;20040408;0
PGE;20040409;0
PGE;20040410;0
PGE;20040411;0
PGE;20040412;0
PGE;20040413;0
PGE;20040414;0
PGE;20040415;0
PGE;20040416;0
PGE;20040417;0
PGE;20040418;0
PGE;20040419;0
PGE;20040420;0
PGE;20040421;0
PGE;20040422;0
PGE;20040423;0
PGE;20040424;0
PGE;20040425;0
PGE;20040426;0
PGE;20040427;0
PGE;20040428;2
PGE;20040429;0
PGE;20040430;8
PGE;20040501;0
PGE;20040502;0
PGE;20040503;4
PGE;20040504;6
PGE;20040505;2
PGE;20040506;2
PGE;20040507;2
PGE;20040508;8
PGE;20040509;0
PGE;20040510;4
PGE;20040511;0
PGE;20040512;2
PGE;20040513;4
PGE;20040514;2
PGE;20040515;0
PGE;20040516;2
PGE;20040517;4
PGE;20040518;0
PGE;20040519;2
PGE;20040520;8
PGE;20040521;2
PGE;20040522;0
PGE;20040523;2
PGE;20040524;2
PGE;20040525;0
PGE;20040526;2
PGE;20040527;0
PGE;20040528;2
PGE;20040529;0
PGE;20040530;2
PGE;20040531;2
PGE;20040601;2
PGE;20040602;6
PGE;20040603;0
PGE;20040604;2
PGE;20040605;0
PGE;20040606;0
PGE;20040607;0
PGE;20040608;0
PGE;20040609;0
PGE;20040610;0
PGE;20040611;0
PGE;20040612;0
PGE;20040613;0
PGE;20040614;0
PGE;20040615;0
PGE;20040616;0
PGE;20040617;2
PGE;20040618;0
PGE;20040619;0
PGE;20040620;0
PGE;20040621;0
PGE;20040622;2
PGE;20040623;0
PGE;20040624;0
PGE;20040625;0
PGE;20040626;4
PGE;20040627;0
PGE;20040628;0
PGE;20040629;0
PGE;20040630;2
PGE;20040701;0
PGE;20040702;0
PGE;20040703;0
PGE;20040704;0
PGE;20040705;0
PGE;20040706;0
PGE;20040707;0
PGE;20040708;0
PGE;20040709;0
PGE;20040710;0
PGE;20040711;0
PGE;20040712;0
PGE;20040713;0
PGE;20040714;0
PGE;20040715;0
PGE;20040716;0
PGE;20040717;0
PGE;20040718;0
PGE;20040719;0
PGE;20040720;0
PGE;20040721;0
PGE;20040722;0
PGE;20040723;0
PGE;20040724;0
PGE;20040725;0
PGE;20040726;0
PGE;20040727;0
PGE;20040728;0
PGE;20040729;0
PGE;20040730;0
PGE;20040731;0
PGE;20040801;0
PGE;20040802;0
PGE;20040803;0
PGE;20040804;0
PGE;20040805;0
PGE;20040806;0
PGE;20040807;0
PGE;20040808;0
PGE;20040809;0
PGE;20040810;0
PGE;20040811;0
PGE;20040812;0
PGE;20040813;0
PGE;20040814;0
PGE;20040815;0
PGE;20040816;0
PGE;20040817;0
PGE;20040818;0
PGE;20040819;0
PGE;20040820;0
PGE;20040821;0
PGE;20040822;0
PGE;20040823;0
PGE;20040824;0
PGE;20040825;0
PGE;20040826;0
PGE;20040827;0
PGE;20040828;0
PGE;20040829;0
PGE;20040830;0
PGE;20040831;0
PGE;20040901;0
PGE;20040902;0
PGE;20040903;0
PGE;20040904;0
PGE;20040905;0
PGE;20040906;0
PGE;20040907;0
PGE;20040908;0
PGE;20040909;0
PGE;20040910;0
PGE;20040911;0
PGE;20040912;0
PGE;20040913;0
PGE;20040914;0
PGE;20040915;0
PGE;20040916;0
PGE;20040917;0
PGE;20040918;0
PGE;20040919;0
PGE;20040920;0
PGE;20040921;0
PGE;20040922;0
PGE;20040923;0
PGE;20040924;0
PGE;20040925;0
PGE;20040926;0
PGE;20040927;0
PGE;20040928;0
PGE;20040929;0
PGE;20040930;0
PGE;20041001;0
PGE;20041002;0
PGE;20041003;0
PGE;20041004;0
PGE;20041005;0
PGE;20041006;0
PGE;20041007;0
PGE;20041008;0
PGE;20041009;0
PGE;20041010;0
PGE;20041011;0
PGE;20041012;0
PGE;20041013;0
PGE;20041014;0
PGE;20041015;0
PGE;20041016;0
PGE;20041017;0
PGE;20041018;0
PGE;20041019;0
PGE;20041020;0
PGE;20041021;0
PGE;20041022;0
PGE;20041023;2
PGE;20041024;0
PGE;20041025;0
PGE;20041026;0
PGE;20041027;0
PGE;20041028;0
PGE;20041029;0
PGE;20041030;0
PGE;20041031;0
PGE;20041101;0
PGE;20041102;0
PGE;20041103;0
PGE;20041104;0
PGE;20041105;-
PGE;20041106;-
PGE;20041107;-
PGE;20041108;0
PGE;20041109;0
PGE;20041110;0
PGE;20041111;0
PGE;20041112;0
PGE;20041113;0
PGE;20041114;0
PGE;20041115;0
PGE;20041116;0
PGE;20041117;0
PGE;20041118;0
PGE;20041119;0
PGE;20041120;0
PGE;20041121;0
PGE;20041122;0
PGE;20041123;0
PGE;20041124;0
PGE;20041125;0
PGE;20041126;0
PGE;20041127;0
PGE;20041128;0
PGE;20041129;0
PGE;20041130;0
PGE;20041201;0
PGE;20041202;0
PGE;20041203;0
PGE;20041204;0
PGE;20041205;0
PGE;20041206;0
PGE;20041207;0
PGE;20041208;0
PGE;20041209;0
PGE;20041210;0
PGE;20041211;0
PGE;20041212;0
PGE;20041213;0
PGE;20041214;0
PGE;20041215;0
PGE;20041216;0
PGE;20041217;0
PGE;20041218;0
PGE;20041219;0
PGE;20041220;0
PGE;20041221;0
PGE;20041222;0
PGE;20041223;0
PGE;20041224;0
PGE;20041225;0
PGE;20041226;0
PGE;20041227;0
PGE;20041228;0
PGE;20041229;0
PGE;20041230;0
PGE;20041231;0
PGE;20050101;0
PGE;20050102;0
PGE;20050103;0
PGE;20050104;0
PGE;20050105;0
PGE;20050106;0
PGE;20050107;0
PGE;20050108;0
PGE;20050109;0
PGE;20050110;0
PGE;20050111;0
PGE;20050112;0
PGE;20050113;0
PGE;20050114;0
PGE;20050115;0
PGE;20050116;0
PGE;20050117;0
PGE;20050118;0
PGE;20050119;0
PGE;20050120;0
PGE;20050121;0
PGE;20050122;0
PGE;20050123;0
PGE;20050124;0
PGE;20050125;0
PGE;20050126;0
PGE;20050127;0
PGE;20050128;0
PGE;20050129;0
PGE;20050130;0
PGE;20050131;0
PGE;20050201;0
PGE;20050202;0
PGE;20050203;0
PGE;20050204;0
PGE;20050205;0
PGE;20050206;0
PGE;20050207;0
PGE;20050208;0
PGE;20050209;0
PGE;20050210;0
PGE;20050211;0
PGE;20050212;0
PGE;20050213;0
PGE;20050214;0
PGE;20050215;0
PGE;20050216;0
PGE;20050217;0
PGE;20050218;0
PGE;20050219;0
PGE;20050220;0
PGE;20050221;0
PGE;20050222;0
PGE;20050223;0
PGE;20050224;0
PGE;20050225;0
PGE;20050226;0
PGE;20050227;0
PGE;20050228;0
PGE;20050301;0
PGE;20050302;0
PGE;20050303;0
PGE;20050304;0
PGE;20050305;0
PGE;20050306;0
PGE;20050307;0
PGE;20050308;0
PGE;20050309;0
PGE;20050310;0
PGE;20050311;0
PGE;20050312;0
PGE;20050313;0
PGE;20050314;0
PGE;20050315;0
PGE;20050316;0
PGE;20050317;0
PGE;20050318;0
PGE;20050319;0
PGE;20050320;0
PGE;20050321;0
PGE;20050322;0
PGE;20050323;0
PGE;20050324;0
PGE;20050325;0
PGE;20050326;0
PGE;20050327;0
PGE;20050328;0
PGE;20050329;0
PGE;20050330;0
PGE;20050331;0
PGE;20050401;0
PGE;20050402;0
PGE;20050403;0
PGE;20050404;0
PGE;20050405;0
PGE;20050406;0
PGE;20050407;0
PGE;20050408;0
PGE;20050409;0
PGE;20050410;0
PGE;20050411;0
PGE;20050412;0
PGE;20050413;0
PGE;20050414;0
PGE;20050415;0
PGE;20050416;0
PGE;20050417;0
PGE;20050418;0
PGE;20050419;0
PGE;20050420;0
PGE;20050421;0
PGE;20050422;0
PGE;20050423;0
PGE;20050424;0
PGE;20050425;0
PGE;20050426;6
PGE;20050427;0
PGE;20050428;0
PGE;20050429;2
PGE;20050430;4
PGE;20050501;2
PGE;20050502;20
PGE;20050503;0
PGE;20050504;4
PGE;20050505;6
PGE;20050506;0
PGE;20050507;0
PGE;20050508;0
PGE;20050509;2
PGE;20050510;0
PGE;20050511;4
PGE;20050512;4
PGE;20050513;4
PGE;20050514;2
PGE;20050515;2
PGE;20050516;0
PGE;20050517;2
PGE;20050518;4
PGE;20050519;4
PGE;20050520;2
PGE;20050521;0
PGE;20050522;2
PGE;20050523;0
PGE;20050524;0
PGE;20050525;2
PGE;20050526;0
PGE;20050527;0
PGE;20050528;0
PGE;20050529;0
PGE;20050530;2
PGE;20050531;0
PGE;20050601;0
PGE;20050602;0
PGE;20050603;0
PGE;20050604;2
PGE;20050605;0
PGE;20050606;0
PGE;20050607;4
PGE;20050608;0
PGE;20050609;0
PGE;20050610;0
PGE;20050611;0
PGE;20050612;4
PGE;20050613;0
PGE;20050614;0
PGE;20050615;0
PGE;20050616;0
PGE;20050617;0
PGE;20050618;0
PGE;20050619;0
PGE;20050620;0
PGE;20050621;0
PGE;20050622;0
PGE;20050623;0
PGE;20050624;0
PGE;20050625;0
PGE;20050626;0
PGE;20050627;0
PGE;20050628;0
PGE;20050629;0
PGE;20050630;0
PGE;20050701;0
PGE;20050702;0
PGE;20050703;0
PGE;20050704;0
PGE;20050705;0
PGE;20050706;0
PGE;20050707;0
PGE;20050708;0
PGE;20050709;0
PGE;20050710;0
PGE;20050711;0
PGE;20050712;0
PGE;20050713;0
PGE;20050714;0
PGE;20050715;0
PGE;20050716;0
PGE;20050717;0
PGE;20050718;0
PGE;20050719;0
PGE;20050720;0
PGE;20050721;0
PGE;20050722;0
PGE;20050723;0
PGE;20050724;0
PGE;20050725;0
PGE;20050726;0
PGE;20050727;0
PGE;20050728;0
PGE;20050729;0
PGE;20050730;0
PGE;20050731;0
PGE;20050801;0
PGE;20050802;0
PGE;20050803;0
PGE;20050804;0
PGE;20050805;0
PGE;20050806;0
PGE;20050807;0
PGE;20050808;0
PGE;20050809;0
PGE;20050810;0
PGE;20050811;0
PGE;20050812;0
PGE;20050813;0
PGE;20050814;0
PGE;20050815;0
PGE;20050816;0
PGE;20050817;0
PGE;20050818;0
PGE;20050819;0
PGE;20050820;0
PGE;20050821;0
PGE;20050822;0
PGE;20050823;0
PGE;20050824;0
PGE;20050825;2
PGE;20050826;0
PGE;20050827;0
PGE;20050828;0
PGE;20050829;0
PGE;20050830;0
PGE;20050831;0
PGE;20050901;0
PGE;20050902;0
PGE;20050903;0
PGE;20050904;0
PGE;20050905;0
PGE;20050906;0
PGE;20050907;0
PGE;20050908;0
PGE;20050909;0
PGE;20050910;0
PGE;20050911;0
PGE;20050912;0
PGE;20050913;0
PGE;20050914;0
PGE;20050915;0
PGE;20050916;0
PGE;20050917;0
PGE;20050918;0
PGE;20050919;0
PGE;20050920;0
PGE;20050921;0
PGE;20050922;0
PGE;20050923;0
PGE;20050924;0
PGE;20050925;0
PGE;20050926;0
PGE;20050927;0
PGE;20050928;0
PGE;20050929;0
PGE;20050930;0
PGE;20051001;0
PGE;20051002;0
PGE;20051003;0
PGE;20051004;0
PGE;20051005;0
PGE;20051006;0
PGE;20051007;0
PGE;20051008;0
PGE;20051009;0
PGE;20051010;0
PGE;20051011;0
PGE;20051012;0
PGE;20051013;0
PGE;20051014;0
PGE;20051015;0
PGE;20051016;0
PGE;20051017;0
PGE;20051018;0
PGE;20051019;0
PGE;20051020;0
PGE;20051021;0
PGE;20051022;0
PGE;20051023;0
PGE;20051024;0
PGE;20051025;0
PGE;20051026;2
PGE;20051027;0
PGE;20051028;0
PGE;20051029;0
PGE;20051030;0
PGE;20051031;0
PGE;20051101;0
PGE;20051102;0
PGE;20051103;0
PGE;20051104;0
PGE;20051105;0
PGE;20051106;0
PGE;20051107;0
PGE;20051108;0
PGE;20051109;0
PGE;20051110;0
PGE;20051111;0
PGE;20051112;0
PGE;20051113;0
PGE;20051114;0
PGE;20051115;0
PGE;20051116;0
PGE;20051117;0
PGE;20051118;0
PGE;20051119;0
PGE;20051120;0
PGE;20051121;0
PGE;20051122;0
PGE;20051123;0
PGE;20051124;0
PGE;20051125;0
PGE;20051126;0
PGE;20051127;0
PGE;20051128;0
PGE;20051129;0
PGE;20051130;0
PGE;20051201;0
PGE;20051202;0
PGE;20051203;0
PGE;20051204;0
PGE;20051205;0
PGE;20051206;0
PGE;20051207;0
PGE;20051208;0
PGE;20051209;0
PGE;20051210;0
PGE;20051211;0
PGE;20051212;0
PGE;20051213;0
PGE;20051214;0
PGE;20051215;0
PGE;20051216;0
PGE;20051217;0
PGE;20051218;0
PGE;20051219;0
PGE;20051220;0
PGE;20051221;0
PGE;20051222;0
PGE;20051223;0
PGE;20051224;0
PGE;20051225;0
PGE;20051226;0
PGE;20051227;0
PGE;20051228;0
PGE;20051229;0
PGE;20051230;0
PGE;20051231;0
PGE;20060101;0
PGE;20060102;0
PGE;20060103;0
PGE;20060104;0
PGE;20060105;0
PGE;20060106;0
PGE;20060107;0
PGE;20060108;0
PGE;20060109;0
PGE;20060110;0
PGE;20060111;0
PGE;20060112;0
PGE;20060113;0
PGE;20060114;0
PGE;20060115;0
PGE;20060116;0
PGE;20060117;0
PGE;20060118;0
PGE;20060119;0
PGE;20060120;0
PGE;20060121;0
PGE;20060122;0
PGE;20060123;0
PGE;20060124;0
PGE;20060125;0
PGE;20060126;0
PGE;20060127;0
PGE;20060128;0
PGE;20060129;0
PGE;20060130;0
PGE;20060131;0
PGE;20060201;0
PGE;20060202;0
PGE;20060203;0
PGE;20060204;0
PGE;20060205;0
PGE;20060206;0
PGE;20060207;0
PGE;20060208;0
PGE;20060209;0
PGE;20060210;0
PGE;20060211;0
PGE;20060212;0
PGE;20060213;0
PGE;20060214;0
PGE;20060215;0
PGE;20060216;0
PGE;20060217;0
PGE;20060218;0
PGE;20060219;0
PGE;20060220;0
PGE;20060221;0
PGE;20060222;0
PGE;20060223;0
PGE;20060224;0
PGE;20060225;0
PGE;20060226;0
PGE;20060227;0
PGE;20060228;0
PGE;20060301;0
PGE;20060302;0
PGE;20060303;0
PGE;20060304;0
PGE;20060305;0
PGE;20060306;0
PGE;20060307;0
PGE;20060308;0
PGE;20060309;0
PGE;20060310;0
PGE;20060311;0
PGE;20060312;0
PGE;20060313;0
PGE;20060314;0
PGE;20060315;0
PGE;20060316;0
PGE;20060317;0
PGE;20060318;0
PGE;20060319;0
PGE;20060320;0
PGE;20060321;0
PGE;20060322;0
PGE;20060323;0
PGE;20060324;0
PGE;20060325;0
PGE;20060326;0
PGE;20060327;0
PGE;20060328;0
PGE;20060329;0
PGE;20060330;0
PGE;20060331;0
PGE;20060401;0
PGE;20060402;0
PGE;20060403;0
PGE;20060404;0
PGE;20060405;0
PGE;20060406;0
PGE;20060407;0
PGE;20060408;0
PGE;20060409;0
PGE;20060410;0
PGE;20060411;0
