 

stn;time;rka150d0
GVE;19940101;9.2
GVE;19940102;8.7
GVE;19940103;2.2
GVE;19940104;5.9
GVE;19940105;1.9
GVE;19940106;8.2
GVE;19940107;3.1
GVE;19940108;0.0
GVE;19940109;0.0
GVE;19940110;1.1
GVE;19940111;7.4
GVE;19940112;0.0
GVE;19940113;0.2
GVE;19940114;4.0
GVE;19940115;4.1
GVE;19940116;1.5
GVE;19940117;1.0
GVE;19940118;0.0
GVE;19940119;0.0
GVE;19940120;0.0
GVE;19940121;0.0
GVE;19940122;0.0
GVE;19940123;0.6
GVE;19940124;5.9
GVE;19940125;3.4
GVE;19940126;6.1
GVE;19940127;0.5
GVE;19940128;4.1
GVE;19940129;0.0
GVE;19940130;0.0
GVE;19940131;0.0
GVE;19940201;0.0
GVE;19940202;0.0
GVE;19940203;2.0
GVE;19940204;0.1
GVE;19940205;0.0
GVE;19940206;17.0
GVE;19940207;1.6
GVE;19940208;2.8
GVE;19940209;0.0
GVE;19940210;1.0
GVE;19940211;0.0
GVE;19940212;0.0
GVE;19940213;0.0
GVE;19940214;3.1
GVE;19940215;4.8
GVE;19940216;0.0
GVE;19940217;0.0
GVE;19940218;0.0
GVE;19940219;0.0
GVE;19940220;7.3
GVE;19940221;5.4
GVE;19940222;0.7
GVE;19940223;7.1
GVE;19940224;4.6
GVE;19940225;0.0
GVE;19940226;0.0
GVE;19940227;2.0
GVE;19940228;2.1
GVE;19940301;2.1
GVE;19940302;5.2
GVE;19940303;2.2
GVE;19940304;0.0
GVE;19940305;0.0
GVE;19940306;0.9
GVE;19940307;0.0
GVE;19940308;0.0
GVE;19940309;0.0
GVE;19940310;0.0
GVE;19940311;0.0
GVE;19940312;0.2
GVE;19940313;0.3
GVE;19940314;0.1
GVE;19940315;0.0
GVE;19940316;0.4
GVE;19940317;0.8
GVE;19940318;0.3
GVE;19940319;0.0
GVE;19940320;0.0
GVE;19940321;1.1
GVE;19940322;0.0
GVE;19940323;0.0
GVE;19940324;0.0
GVE;19940325;0.0
GVE;19940326;1.7
GVE;19940327;0.0
GVE;19940328;0.0
GVE;19940329;0.0
GVE;19940330;0.0
GVE;19940331;0.0
GVE;19940401;6.4
GVE;19940402;9.2
GVE;19940403;1.3
GVE;19940404;13.4
GVE;19940405;0.8
GVE;19940406;4.1
GVE;19940407;13.7
GVE;19940408;5.5
GVE;19940409;6.5
GVE;19940410;2.6
GVE;19940411;0.0
GVE;19940412;2.6
GVE;19940413;0.5
GVE;19940414;2.0
GVE;19940415;0.2
GVE;19940416;0.0
GVE;19940417;0.0
GVE;19940418;0.0
GVE;19940419;0.0
GVE;19940420;2.4
GVE;19940421;0.4
GVE;19940422;0.0
GVE;19940423;0.0
GVE;19940424;0.8
GVE;19940425;8.2
GVE;19940426;0.0
GVE;19940427;0.0
GVE;19940428;0.0
GVE;19940429;0.0
GVE;19940430;0.0
GVE;19940501;0.0
GVE;19940502;0.0
GVE;19940503;0.0
GVE;19940504;4.3
GVE;19940505;0.1
GVE;19940506;0.0
GVE;19940507;0.0
GVE;19940508;12.0
GVE;19940509;10.4
GVE;19940510;0.0
GVE;19940511;0.6
GVE;19940512;2.6
GVE;19940513;0.0
GVE;19940514;0.3
GVE;19940515;0.0
GVE;19940516;0.2
GVE;19940517;0.8
GVE;19940518;14.8
