 

stn;time;tre200d0
GVE;19940101;3.2
GVE;19940102;2.8
GVE;19940103;6.8
GVE;19940104;8.1
GVE;19940105;7.1
GVE;19940106;6.0
GVE;19940107;4.7
GVE;19940108;2.6
GVE;19940109;3.3
GVE;19940110;2.5
GVE;19940111;2.3
GVE;19940112;2.8
GVE;19940113;8.7
GVE;19940114;7.4
GVE;19940115;4.1
GVE;19940116;2.4
GVE;19940117;2.4
GVE;19940118;-0.8
GVE;19940119;-2.5
GVE;19940120;-0.6
GVE;19940121;0.7
GVE;19940122;-0.5
GVE;19940123;-0.7
GVE;19940124;4.0
GVE;19940125;7.9
GVE;19940126;6.5
GVE;19940127;5.4
GVE;19940128;5.3
GVE;19940129;2.2
GVE;19940130;1.3
GVE;19940131;3.2
GVE;19940201;2.2
GVE;19940202;5.3
GVE;19940203;8.4
GVE;19940204;6.0
GVE;19940205;5.8
GVE;19940206;5.1
GVE;19940207;5.1
GVE;19940208;3.9
GVE;19940209;2.2
GVE;19940210;3.7
GVE;19940211;2.1
GVE;19940212;1.0
GVE;19940213;-0.5
GVE;19940214;-1.6
GVE;19940215;-0.6
GVE;19940216;-0.1
GVE;19940217;0.7
GVE;19940218;0.1
GVE;19940219;1.3
GVE;19940220;2.9
GVE;19940221;6.1
GVE;19940222;7.5
GVE;19940223;3.8
GVE;19940224;6.1
GVE;19940225;8.5
GVE;19940226;8.5
GVE;19940227;7.1
GVE;19940228;9.1
GVE;19940301;8.4
GVE;19940302;7.2
GVE;19940303;8.1
GVE;19940304;7.6
GVE;19940305;7.7
GVE;19940306;9.3
GVE;19940307;8.2
GVE;19940308;9.6
GVE;19940309;10.3
GVE;19940310;11.2
GVE;19940311;11.9
GVE;19940312;11.9
GVE;19940313;8.7
GVE;19940314;9.2
GVE;19940315;9.6
GVE;19940316;9.1
GVE;19940317;6.9
GVE;19940318;7.8
GVE;19940319;9.8
GVE;19940320;9.9
GVE;19940321;9.8
GVE;19940322;9.8
GVE;19940323;11.8
GVE;19940324;13.7
GVE;19940325;15.8
GVE;19940326;10.7
GVE;19940327;7.3
GVE;19940328;10.6
GVE;19940329;14.1
GVE;19940330;13.3
GVE;19940331;14.0
GVE;19940401;10.5
GVE;19940402;3.6
GVE;19940403;2.9
GVE;19940404;3.8
GVE;19940405;4.9
GVE;19940406;4.3
GVE;19940407;2.9
GVE;19940408;4.9
GVE;19940409;4.8
GVE;19940410;4.0
GVE;19940411;6.5
GVE;19940412;5.0
GVE;19940413;7.3
GVE;19940414;5.6
GVE;19940415;5.2
GVE;19940416;6.1
GVE;19940417;8.6
GVE;19940418;7.7
GVE;19940419;8.5
GVE;19940420;9.3
GVE;19940421;10.6
GVE;19940422;11.3
GVE;19940423;14.1
GVE;19940424;13.2
GVE;19940425;10.0
GVE;19940426;11.5
GVE;19940427;11.7
GVE;19940428;14.4
GVE;19940429;15.5
GVE;19940430;17.2
GVE;19940501;17.5
GVE;19940502;13.8
GVE;19940503;15.7
GVE;19940504;12.9
GVE;19940505;11.3
GVE;19940506;13.5
GVE;19940507;15.3
GVE;19940508;14.4
GVE;19940509;11.4
GVE;19940510;13.0
GVE;19940511;14.0
GVE;19940512;13.0
GVE;19940513;15.7
GVE;19940514;16.9
GVE;19940515;16.6
GVE;19940516;16.4
GVE;19940517;15.9
GVE;19940518;12.9
GVE;19940519;11.9
GVE;19940520;12.7
GVE;19940521;13.6
GVE;19940522;16.5
GVE;19940523;19.2
GVE;19940524;16.3
GVE;19940525;16.3
GVE;19940526;12.9
GVE;19940527;14.1
GVE;19940528;15.1
GVE;19940529;16.4
GVE;19940530;15.4
GVE;19940531;17.1
GVE;19940601;18.9
GVE;19940602;18.3
GVE;19940603;16.9
GVE;19940604;13.5
GVE;19940605;11.2
GVE;19940606;12.9
GVE;19940607;18.5
GVE;19940608;19.5
GVE;19940609;12.8
GVE;19940610;11.2
GVE;19940611;11.2
GVE;19940612;14.0
GVE;19940613;15.7
GVE;19940614;17.0
GVE;19940615;18.5
GVE;19940616;18.5
GVE;19940617;18.2
GVE;19940618;21.2
GVE;19940619;20.1
GVE;19940620;17.1
GVE;19940621;19.4
GVE;19940622;20.9
GVE;19940623;21.8
GVE;19940624;22.6
GVE;19940625;21.7
GVE;19940626;18.6
GVE;19940627;20.0
GVE;19940628;22.4
GVE;19940629;24.1
GVE;19940630;23.8
GVE;19940701;24.2
GVE;19940702;26.1
GVE;19940703;26.0
GVE;19940704;25.9
GVE;19940705;24.2
GVE;19940706;22.0
GVE;19940707;18.8
GVE;19940708;18.6
GVE;19940709;20.0
GVE;19940710;20.4
GVE;19940711;21.9
GVE;19940712;23.2
GVE;19940713;25.4
GVE;19940714;22.3
GVE;19940715;22.4
GVE;19940716;23.6
GVE;19940717;25.3
GVE;19940718;22.9
GVE;19940719;20.1
GVE;19940720;18.6
GVE;19940721;21.4
GVE;19940722;22.9
GVE;19940723;22.2
GVE;19940724;23.5
GVE;19940725;23.4
GVE;19940726;22.8
GVE;19940727;23.9
GVE;19940728;23.2
GVE;19940729;22.5
GVE;19940730;20.9
GVE;19940731;22.3
GVE;19940801;19.7
GVE;19940802;20.8
GVE;19940803;23.0
GVE;19940804;25.1
GVE;19940805;26.5
GVE;19940806;26.0
GVE;19940807;25.4
GVE;19940808;23.9
GVE;19940809;24.2
GVE;19940810;21.6
GVE;19940811;19.1
GVE;19940812;19.2
GVE;19940813;18.1
GVE;19940814;18.8
GVE;19940815;18.2
GVE;19940816;20.3
GVE;19940817;19.4
GVE;19940818;18.2
GVE;19940819;20.1
GVE;19940820;22.6
GVE;19940821;22.9
GVE;19940822;23.1
GVE;19940823;22.3
GVE;19940824;20.1
GVE;19940825;17.8
GVE;19940826;18.8
GVE;19940827;19.3
GVE;19940828;21.6
GVE;19940829;21.0
GVE;19940830;18.1
GVE;19940831;19.5
GVE;19940901;18.5
GVE;19940902;16.1
GVE;19940903;16.0
GVE;19940904;16.0
GVE;19940905;18.1
GVE;19940906;21.6
GVE;19940907;21.6
GVE;19940908;14.0
GVE;19940909;14.5
GVE;19940910;17.8
GVE;19940911;18.5
GVE;19940912;16.2
GVE;19940913;16.5
GVE;19940914;13.6
GVE;19940915;11.9
GVE;19940916;9.7
GVE;19940917;9.4
GVE;19940918;8.3
GVE;19940919;10.1
GVE;19940920;10.4
GVE;19940921;12.9
GVE;19940922;14.3
GVE;19940923;15.8
GVE;19940924;17.5
GVE;19940925;16.2
GVE;19940926;15.0
GVE;19940927;15.9
GVE;19940928;15.5
GVE;19940929;14.9
GVE;19940930;15.6
GVE;19941001;16.2
GVE;19941002;17.9
GVE;19941003;15.1
GVE;19941004;11.8
GVE;19941005;9.1
GVE;19941006;8.9
GVE;19941007;6.5
GVE;19941008;5.3
GVE;19941009;7.0
GVE;19941010;8.8
GVE;19941011;12.1
GVE;19941012;13.6
GVE;19941013;13.7
GVE;19941014;12.1
GVE;19941015;11.7
GVE;19941016;11.1
GVE;19941017;11.8
GVE;19941018;10.8
GVE;19941019;10.9
GVE;19941020;11.7
GVE;19941021;12.1
GVE;19941022;13.0
GVE;19941023;13.2
GVE;19941024;11.0
GVE;19941025;11.8
GVE;19941026;9.4
GVE;19941027;8.1
GVE;19941028;7.0
GVE;19941029;8.9
GVE;19941030;11.3
GVE;19941031;14.9
GVE;19941101;13.7
GVE;19941102;11.5
GVE;19941103;10.9
GVE;19941104;9.8
GVE;19941105;10.3
GVE;19941106;10.1
GVE;19941107;9.9
GVE;19941108;9.2
GVE;19941109;9.4
GVE;19941110;9.0
GVE;19941111;8.6
GVE;19941112;7.3
GVE;19941113;8.9
GVE;19941114;7.3
GVE;19941115;9.5
GVE;19941116;11.8
GVE;19941117;7.8
GVE;19941118;5.8
GVE;19941119;9.6
GVE;19941120;9.8
GVE;19941121;8.4
GVE;19941122;8.1
GVE;19941123;8.3
GVE;19941124;7.9
GVE;19941125;8.9
GVE;19941126;6.0
GVE;19941127;7.2
GVE;19941128;8.1
GVE;19941129;4.9
GVE;19941130;4.9
GVE;19941201;4.2
GVE;19941202;4.8
GVE;19941203;5.2
GVE;19941204;11.5
GVE;19941205;10.8
GVE;19941206;8.3
GVE;19941207;4.1
GVE;19941208;7.2
GVE;19941209;8.9
GVE;19941210;10.0
GVE;19941211;8.4
GVE;19941212;5.0
GVE;19941213;4.7
GVE;19941214;4.7
GVE;19941215;3.4
GVE;19941216;0.9
GVE;19941217;1.1
GVE;19941218;2.9
GVE;19941219;5.1
GVE;19941220;1.6
GVE;19941221;1.4
GVE;19941222;1.3
GVE;19941223;1.3
GVE;19941224;0.0
GVE;19941225;-0.5
GVE;19941226;-0.7
GVE;19941227;3.9
GVE;19941228;6.9
GVE;19941229;7.3
GVE;19941230;8.6
GVE;19941231;6.9
GVE;19950101;3.1
GVE;19950102;-1.4
GVE;19950103;-1.3
GVE;19950104;-3.0
GVE;19950105;-6.9
GVE;19950106;-5.4
GVE;19950107;-2.0
GVE;19950108;-1.0
GVE;19950109;-0.7
GVE;19950110;2.3
GVE;19950111;3.8
GVE;19950112;0.3
GVE;19950113;-1.1
GVE;19950114;-2.2
GVE;19950115;-3.5
GVE;19950116;-3.4
GVE;19950117;-1.8
GVE;19950118;3.5
GVE;19950119;3.5
GVE;19950120;2.7
GVE;19950121;3.9
GVE;19950122;6.9
GVE;19950123;8.3
GVE;19950124;5.0
GVE;19950125;9.2
GVE;19950126;7.9
GVE;19950127;3.9
GVE;19950128;6.7
GVE;19950129;7.5
GVE;19950130;7.1
GVE;19950131;3.4
GVE;19950201;3.5
GVE;19950202;6.9
GVE;19950203;5.5
GVE;19950204;4.1
GVE;19950205;5.3
GVE;19950206;4.6
GVE;19950207;3.0
GVE;19950208;8.3
GVE;19950209;6.7
GVE;19950210;4.8
GVE;19950211;7.5
GVE;19950212;8.2
GVE;19950213;8.8
GVE;19950214;6.8
GVE;19950215;7.5
GVE;19950216;9.0
GVE;19950217;7.6
GVE;19950218;3.5
GVE;19950219;4.4
GVE;19950220;8.3
GVE;19950221;8.7
GVE;19950222;4.7
GVE;19950223;4.0
GVE;19950224;6.7
GVE;19950225;8.2
GVE;19950226;5.0
GVE;19950227;3.3
GVE;19950228;2.6
GVE;19950301;5.3
GVE;19950302;7.0
GVE;19950303;4.3
GVE;19950304;2.3
GVE;19950305;0.5
GVE;19950306;3.5
GVE;19950307;3.3
GVE;19950308;2.5
GVE;19950309;3.8
GVE;19950310;3.0
GVE;19950311;5.2
GVE;19950312;7.4
GVE;19950313;7.2
GVE;19950314;5.7
GVE;19950315;5.5
GVE;19950316;5.1
GVE;19950317;7.7
GVE;19950318;10.3
GVE;19950319;10.2
GVE;19950320;4.1
GVE;19950321;3.0
GVE;19950322;4.0
GVE;19950323;4.9
GVE;19950324;7.7
GVE;19950325;9.3
GVE;19950326;10.1
GVE;19950327;6.2
GVE;19950328;1.8
GVE;19950329;3.1
GVE;19950330;2.2
GVE;19950331;2.7
GVE;19950401;7.2
GVE;19950402;11.7
GVE;19950403;12.7
GVE;19950404;15.2
GVE;19950405;13.6
GVE;19950406;13.3
GVE;19950407;12.7
GVE;19950408;11.1
GVE;19950409;7.7
GVE;19950410;6.0
GVE;19950411;8.9
GVE;19950412;11.9
GVE;19950413;9.6
GVE;19950414;7.8
GVE;19950415;8.3
GVE;19950416;7.6
GVE;19950417;9.0
GVE;19950418;13.5
GVE;19950419;9.6
GVE;19950420;5.6
GVE;19950421;8.5
GVE;19950422;8.2
GVE;19950423;9.7
GVE;19950424;11.5
GVE;19950425;9.4
GVE;19950426;8.5
GVE;19950427;9.8
GVE;19950428;11.7
GVE;19950429;12.8
GVE;19950430;11.2
GVE;19950501;12.3
GVE;19950502;12.9
GVE;19950503;14.8
GVE;19950504;16.5
GVE;19950505;16.5
GVE;19950506;17.1
GVE;19950507;17.4
GVE;19950508;17.6
GVE;19950509;16.5
GVE;19950510;13.4
GVE;19950511;13.0
GVE;19950512;13.0
GVE;19950513;5.5
GVE;19950514;6.1
GVE;19950515;8.0
GVE;19950516;12.2
GVE;19950517;13.7
GVE;19950518;12.0
GVE;19950519;9.5
GVE;19950520;10.2
GVE;19950521;11.7
GVE;19950522;12.3
GVE;19950523;15.6
GVE;19950524;16.9
GVE;19950525;16.3
GVE;19950526;14.5
GVE;19950527;17.0
GVE;19950528;17.6
GVE;19950529;17.0
GVE;19950530;14.7
GVE;19950531;12.6
GVE;19950601;12.2
GVE;19950602;13.0
GVE;19950603;14.8
GVE;19950604;15.5
GVE;19950605;14.4
GVE;19950606;14.2
GVE;19950607;15.0
GVE;19950608;16.8
GVE;19950609;15.0
GVE;19950610;13.3
GVE;19950611;11.8
GVE;19950612;11.9
GVE;19950613;11.6
GVE;19950614;12.4
GVE;19950615;13.7
GVE;19950616;14.3
GVE;19950617;17.0
GVE;19950618;18.3
GVE;19950619;19.8
GVE;19950620;23.0
GVE;19950621;20.9
GVE;19950622;19.2
GVE;19950623;14.3
GVE;19950624;14.3
GVE;19950625;16.8
GVE;19950626;19.9
GVE;19950627;21.1
GVE;19950628;21.9
GVE;19950629;21.2
GVE;19950630;22.0
GVE;19950701;23.7
GVE;19950702;21.8
GVE;19950703;17.1
GVE;19950704;18.6
GVE;19950705;18.7
GVE;19950706;19.0
GVE;19950707;20.9
GVE;19950708;23.3
GVE;19950709;24.3
GVE;19950710;24.7
GVE;19950711;21.8
GVE;19950712;21.6
