 

stn;time;fkl010d0
GVE;19940101;2.5
GVE;19940102;3.5
GVE;19940103;3.0
GVE;19940104;5.5
GVE;19940105;5.0
GVE;19940106;0.9
GVE;19940107;2.2
GVE;19940108;1.5
GVE;19940109;0.7
GVE;19940110;1.2
GVE;19940111;1.4
GVE;19940112;1.8
GVE;19940113;2.8
GVE;19940114;2.3
GVE;19940115;1.4
GVE;19940116;0.7
GVE;19940117;4.9
GVE;19940118;3.9
GVE;19940119;0.6
GVE;19940120;3.3
GVE;19940121;6.1
GVE;19940122;1.1
GVE;19940123;1.7
GVE;19940124;1.7
GVE;19940125;2.3
GVE;19940126;3.5
GVE;19940127;3.7
GVE;19940128;4.0
GVE;19940129;1.4
GVE;19940130;0.8
GVE;19940131;0.8
GVE;19940201;1.2
GVE;19940202;3.0
GVE;19940203;3.4
GVE;19940204;0.7
GVE;19940205;1.4
GVE;19940206;1.1
GVE;19940207;1.1
GVE;19940208;1.2
GVE;19940209;0.9
GVE;19940210;1.8
GVE;19940211;1.7
GVE;19940212;6.7
GVE;19940213;4.0
GVE;19940214;3.9
GVE;19940215;0.8
GVE;19940216;0.7
GVE;19940217;0.6
GVE;19940218;0.9
GVE;19940219;1.2
GVE;19940220;3.4
GVE;19940221;4.4
GVE;19940222;3.0
GVE;19940223;0.7
GVE;19940224;3.4
GVE;19940225;2.5
GVE;19940226;2.3
GVE;19940227;0.9
GVE;19940228;1.2
GVE;19940301;1.3
GVE;19940302;2.6
GVE;19940303;2.5
GVE;19940304;1.9
GVE;19940305;1.4
GVE;19940306;1.6
GVE;19940307;0.9
GVE;19940308;1.0
GVE;19940309;0.8
GVE;19940310;1.6
GVE;19940311;1.1
GVE;19940312;2.8
GVE;19940313;4.7
GVE;19940314;1.5
GVE;19940315;2.0
GVE;19940316;3.7
GVE;19940317;3.0
GVE;19940318;2.0
GVE;19940319;5.1
GVE;19940320;3.4
GVE;19940321;1.8
GVE;19940322;1.3
GVE;19940323;1.4
GVE;19940324;1.8
GVE;19940325;2.2
GVE;19940326;2.8
GVE;19940327;3.3
GVE;19940328;2.3
GVE;19940329;1.2
GVE;19940330;2.5
GVE;19940331;4.8
GVE;19940401;6.4
GVE;19940402;3.4
GVE;19940403;1.5
GVE;19940404;4.5
GVE;19940405;3.0
GVE;19940406;2.7
GVE;19940407;1.9
GVE;19940408;3.5
GVE;19940409;5.8
GVE;19940410;3.0
GVE;19940411;5.3
GVE;19940412;2.0
GVE;19940413;1.5
GVE;19940414;1.3
GVE;19940415;2.2
GVE;19940416;1.9
GVE;19940417;1.6
GVE;19940418;6.2
GVE;19940419;1.9
GVE;19940420;1.1
GVE;19940421;1.0
GVE;19940422;1.2
GVE;19940423;2.2
GVE;19940424;2.1
GVE;19940425;1.5
GVE;19940426;1.3
GVE;19940427;1.4
GVE;19940428;2.6
GVE;19940429;1.6
GVE;19940430;0.9
GVE;19940501;1.7
GVE;19940502;3.1
GVE;19940503;2.5
GVE;19940504;3.1
GVE;19940505;1.9
GVE;19940506;2.1
GVE;19940507;1.8
GVE;19940508;2.5
GVE;19940509;1.2
GVE;19940510;1.2
GVE;19940511;1.7
GVE;19940512;1.3
GVE;19940513;1.7
GVE;19940514;4.0
GVE;19940515;2.7
GVE;19940516;1.6
GVE;19940517;2.0
GVE;19940518;2.1
GVE;19940519;2.0
GVE;19940520;2.0
GVE;19940521;1.5
GVE;19940522;1.7
GVE;19940523;3.2
GVE;19940524;2.4
GVE;19940525;1.3
GVE;19940526;1.5
GVE;19940527;2.2
GVE;19940528;1.8
GVE;19940529;1.3
GVE;19940530;1.6
GVE;19940531;1.3
GVE;19940601;0.8
GVE;19940602;2.1
GVE;19940603;2.5
GVE;19940604;4.4
GVE;19940605;2.4
GVE;19940606;1.1
GVE;19940607;1.8
GVE;19940608;2.9
GVE;19940609;3.1
GVE;19940610;1.6
GVE;19940611;6.7
GVE;19940612;9.2
GVE;19940613;4.5
GVE;19940614;2.4
GVE;19940615;1.7
GVE;19940616;1.1
GVE;19940617;1.1
GVE;19940618;2.2
GVE;19940619;2.1
GVE;19940620;1.1
GVE;19940621;1.8
GVE;19940622;1.3
GVE;19940623;2.1
GVE;19940624;1.9
GVE;19940625;1.9
GVE;19940626;2.8
GVE;19940627;2.4
GVE;19940628;1.5
GVE;19940629;1.4
GVE;19940630;1.6
GVE;19940701;1.2
GVE;19940702;1.6
GVE;19940703;1.0
GVE;19940704;1.7
GVE;19940705;2.2
GVE;19940706;1.8
GVE;19940707;1.8
GVE;19940708;1.8
GVE;19940709;2.0
GVE;19940710;2.8
GVE;19940711;1.5
GVE;19940712;1.6
GVE;19940713;1.3
GVE;19940714;2.0
GVE;19940715;1.5
GVE;19940716;1.5
GVE;19940717;1.5
GVE;19940718;1.9
GVE;19940719;3.0
GVE;19940720;2.2
GVE;19940721;2.4
GVE;19940722;1.4
GVE;19940723;1.5
GVE;19940724;1.3
GVE;19940725;1.5
GVE;19940726;1.1
GVE;19940727;1.4
GVE;19940728;1.5
GVE;19940729;2.2
GVE;19940730;1.6
GVE;19940731;1.7
GVE;19940801;1.4
GVE;19940802;1.3
GVE;19940803;1.1
GVE;19940804;1.1
GVE;19940805;1.2
GVE;19940806;1.2
GVE;19940807;2.1
GVE;19940808;1.6
GVE;19940809;1.8
GVE;19940810;1.4
GVE;19940811;3.5
GVE;19940812;1.6
GVE;19940813;1.2
GVE;19940814;1.9
GVE;19940815;1.5
GVE;19940816;1.5
GVE;19940817;2.8
GVE;19940818;2.6
GVE;19940819;2.7
GVE;19940820;1.9
GVE;19940821;1.4
GVE;19940822;1.3
GVE;19940823;2.1
GVE;19940824;1.3
GVE;19940825;2.4
GVE;19940826;3.5
GVE;19940827;1.0
GVE;19940828;1.9
GVE;19940829;1.4
GVE;19940830;1.1
GVE;19940831;1.3
GVE;19940901;1.8
GVE;19940902;1.2
GVE;19940903;1.7
GVE;19940904;1.2
GVE;19940905;1.3
GVE;19940906;2.6
GVE;19940907;4.2
GVE;19940908;1.7
GVE;19940909;3.5
GVE;19940910;4.8
GVE;19940911;4.1
GVE;19940912;2.2
GVE;19940913;1.2
GVE;19940914;3.0
GVE;19940915;5.4
GVE;19940916;1.8
GVE;19940917;1.2
GVE;19940918;1.0
GVE;19940919;1.7
GVE;19940920;1.0
GVE;19940921;0.7
GVE;19940922;2.2
GVE;19940923;1.0
GVE;19940924;2.3
GVE;19940925;0.9
GVE;19940926;1.1
GVE;19940927;1.1
GVE;19940928;1.1
GVE;19940929;1.2
GVE;19940930;0.9
GVE;19941001;0.7
GVE;19941002;1.6
GVE;19941003;3.2
GVE;19941004;2.9
GVE;19941005;6.1
GVE;19941006;6.3
GVE;19941007;3.5
GVE;19941008;1.3
GVE;19941009;0.8
GVE;19941010;0.8
GVE;19941011;0.6
GVE;19941012;0.4
GVE;19941013;1.2
GVE;19941014;0.6
GVE;19941015;0.6
GVE;19941016;0.6
GVE;19941017;2.3
GVE;19941018;2.3
GVE;19941019;1.3
GVE;19941020;0.7
GVE;19941021;0.7
GVE;19941022;2.1
GVE;19941023;3.4
GVE;19941024;2.4
GVE;19941025;4.1
GVE;19941026;3.3
GVE;19941027;1.5
GVE;19941028;0.8
GVE;19941029;2.3
GVE;19941030;2.4
GVE;19941031;3.5
GVE;19941101;2.6
GVE;19941102;0.9
GVE;19941103;1.3
GVE;19941104;1.3
GVE;19941105;1.4
GVE;19941106;1.3
