year,pollen_graminees_avg,pollen_graminees_first_day
1994,43.55882352941177,3
1995,44.39855072463768,12
1996,39.16151202749141,35
1997,39.1505016722408,16
1998,40.303030303030305,32
1999,39.35191637630662,16
2000,43.904761904761905,39
2001,43.55921052631579,30
2002,41.41721854304636,10
2003,41.78431372549019,22
2004,36.390728476821195,38
2005,32.70383275261324,29
2006,33.59310344827586,24
2007,39.82608695652174,1
2008,38.76774193548387,12
2009,30.63973063973064,35
2010,25.640776699029125,38
2011,31.938906752411576,0
2012,42.97902097902098,15
2013,40.77922077922078,10
2014,40.76282051282051,24
2015,38.69255663430421,3
2016,31.133116883116884,8
2017,26.841216216216218,15
2018,25.08169934640523,36
2019,30.57188498402556,2
2020,30.779141104294478,10
2021,26.61783439490446,23
2022,39.48275862068966,6
2023,51.046783625730995,56
