date;PM2.5;PM10;NO2;O3
2011-01-01 00:00:00;;20.11;31.93;7.3
2011-01-01 01:00:00;;20.11;37.53;4.7
2011-01-01 02:00:00;;20.11;37.88;4.43
2011-01-01 03:00:00;;20.11;41.37;3.63
2011-01-01 04:00:00;;20.11;43.87;2.23
2011-01-01 05:00:00;;20.11;42.21;2.71
2011-01-01 06:00:00;;20.11;37.46;4.09
2011-01-01 07:00:00;;20.11;34.55;4.93
2011-01-01 08:00:00;;20.11;32.32;6.0
2011-01-01 09:00:00;;20.11;27.87;10.2
2011-01-01 10:00:00;;20.11;24.51;11.41
2011-01-01 11:00:00;;20.11;22.78;14.25
2011-01-01 12:00:00;;20.11;21.54;18.48
2011-01-01 13:00:00;;20.11;15.37;40.2
2011-01-01 14:00:00;;20.11;10.14;57.22
2011-01-01 15:00:00;;20.11;10.75;57.7
2011-01-01 16:00:00;;20.11;12.84;54.75
2011-01-01 17:00:00;;20.11;16.34;46.82
2011-01-01 18:00:00;;20.11;19.97;36.67
2011-01-01 19:00:00;;20.11;14.91;40.16
2011-01-01 20:00:00;;20.11;13.66;39.5
2011-01-01 21:00:00;;20.11;11.5;44.55
2011-01-01 22:00:00;;20.11;13.38;38.42
2011-01-01 23:00:00;;20.11;10.7;44.86
2011-01-02 00:00:00;;8.57;8.86;48.02
2011-01-02 01:00:00;;8.57;8.28;50.05
2011-01-02 02:00:00;;8.57;8.06;50.67
2011-01-02 03:00:00;;8.57;8.11;50.81
2011-01-02 04:00:00;;8.57;7.33;51.7
2011-01-02 05:00:00;;8.57;7.01;51.23
2011-01-02 06:00:00;;8.57;6.01;56.17
2011-01-02 07:00:00;;8.57;6.52;54.5
2011-01-02 08:00:00;;8.57;6.91;53.71
2011-01-02 09:00:00;;8.57;7.32;51.61
2011-01-02 10:00:00;;8.57;7.97;49.14
2011-01-02 11:00:00;;8.57;7.85;49.78
2011-01-02 12:00:00;;8.57;7.28;51.76
2011-01-02 13:00:00;;8.57;7.01;51.91
