date;PM2.5;PM10;NO2;O3
2013-12-17 00:00:00;;;74.22;1.06
2013-12-17 01:00:00;;;67.53;1.16
2013-12-17 02:00:00;;;64.69;1.34
2013-12-17 03:00:00;;;63.0;1.33
2013-12-17 04:00:00;;;61.19;1.35
2013-12-17 05:00:00;;;60.34;1.48
2013-12-17 06:00:00;;;63.03;1.54
2013-12-17 07:00:00;;;68.09;1.6
2013-12-17 08:00:00;;;74.31;1.63
2013-12-17 09:00:00;;;78.33;1.77
2013-12-17 10:00:00;;;91.05;6.09
2013-12-17 11:00:00;;;103.58;2.67
2013-12-17 12:00:00;;;107.98;2.65
2013-12-17 13:00:00;;;89.61;2.63
2013-12-17 14:00:00;;;79.03;2.51
2013-12-17 15:00:00;;;75.7;2.18
2013-12-17 16:00:00;;;78.53;1.56
2013-12-17 17:00:00;;;73.45;1.41
2013-12-17 18:00:00;;;72.06;1.5
2013-12-17 19:00:00;;;77.67;1.62
2013-12-17 20:00:00;;;82.82;1.63
2013-12-17 21:00:00;;;83.21;1.78
2013-12-17 22:00:00;;;83.21;1.75
2013-12-17 23:00:00;;;81.96;1.6
2013-12-18 00:00:00;;;81.67;1.52
2013-12-18 01:00:00;;;81.77;2.14
2013-12-18 02:00:00;;;75.55;
2013-12-18 03:00:00;;;73.07;
2013-12-18 04:00:00;;;69.05;2.9
2013-12-18 05:00:00;;;69.05;1.77
2013-12-18 06:00:00;;;73.16;1.81
2013-12-18 07:00:00;;;79.19;1.78
2013-12-18 08:00:00;;;88.85;1.92
2013-12-18 09:00:00;;;97.93;2.1
2013-12-18 10:00:00;;;112.85;2.35
2013-12-18 11:00:00;;;95.16;2.81
2013-12-18 12:00:00;;;74.27;4.13
2013-12-18 13:00:00;;;68.25;4.52
2013-12-18 14:00:00;;;79.44;3.71
2013-12-18 15:00:00;;;80.98;2.76
2013-12-18 16:00:00;;;83.11;2.19
2013-12-18 17:00:00;;;78.94;1.11
2013-12-18 18:00:00;;;78.38;1.2
2013-12-18 19:00:00;;;76.87;1.17
2013-12-18 20:00:00;;;72.06;1.51
2013-12-18 21:00:00;;;73.83;1.47
2013-12-18 22:00:00;;;73.54;1.44
2013-12-18 23:00:00;;;72.06;1.8
2013-12-19 02:00:00;;;;1.21
2013-12-19 03:00:00;;;;1.62
2013-12-19 04:00:00;;;;1.3
2013-12-19 05:00:00;;;62.26;1.49
2013-12-19 06:00:00;;;70.29;1.77
2013-12-19 07:00:00;;;101.57;2.69
2013-12-19 08:00:00;;;91.1;4.09
2013-12-19 09:00:00;;;105.39;1.25
2013-12-19 10:00:00;;;118.4;0.91
2013-12-19 11:00:00;;;107.02;0.92
2013-12-19 12:00:00;;;99.79;0.86
2013-12-19 13:00:00;;;81.0;2.81
2013-12-19 14:00:00;;;91.69;1.37
2013-12-19 15:00:00;;;94.53;0.95
2013-12-19 16:00:00;;;96.15;1.18
2013-12-19 17:00:00;;;104.23;0.96
2013-12-19 18:00:00;;;92.25;1.13
2013-12-19 19:00:00;;;88.31;
2013-12-19 20:00:00;;;86.74;1.63
2013-12-19 21:00:00;;;83.19;2.18
