date;PM2.5;PM10;NO2;O3
2011-01-01 00:00:00;;28.87;41.32;3.92
2011-01-01 01:00:00;;28.87;38.65;4.94
2011-01-01 02:00:00;;28.87;41.09;3.38
2011-01-01 03:00:00;;28.87;44.82;1.75
2011-01-01 04:00:00;;28.87;47.76;1.25
2011-01-01 05:00:00;;28.87;46.23;1.25
2011-01-01 06:00:00;;28.87;45.19;1.36
2011-01-01 07:00:00;;28.87;45.45;1.13
2011-01-01 08:00:00;;28.87;44.13;1.57
2011-01-01 09:00:00;;28.87;42.76;2.72
2011-01-01 10:00:00;;28.87;41.97;3.83
2011-01-01 11:00:00;;28.87;39.0;6.22
2011-01-01 12:00:00;;28.87;36.75;7.71
2011-01-01 13:00:00;;28.87;33.77;15.62
2011-01-01 14:00:00;;28.87;36.26;23.85
2011-01-01 15:00:00;;28.87;42.62;23.46
2011-01-01 16:00:00;;28.87;48.65;20.27
2011-01-01 17:00:00;;28.87;48.54;19.83
2011-01-01 18:00:00;;28.87;43.09;23.45
2011-01-01 19:00:00;;28.87;33.48;30.91
2011-01-01 20:00:00;;28.87;29.25;33.11
2011-01-01 21:00:00;;28.87;27.37;32.74
2011-01-01 22:00:00;;28.87;27.27;31.09
2011-01-01 23:00:00;;28.87;27.79;30.39
2011-01-02 00:00:00;;10.93;17.74;41.07
2011-01-02 01:00:00;;10.93;18.39;44.08
2011-01-02 02:00:00;;10.93;15.74;47.19
2011-01-02 03:00:00;;10.93;15.87;45.37
2011-01-02 04:00:00;;10.93;15.35;45.15
2011-01-02 05:00:00;;10.93;15.16;45.74
2011-01-02 06:00:00;;10.93;17.22;45.33
2011-01-02 07:00:00;;10.93;16.54;48.51
2011-01-02 08:00:00;;10.93;17.08;46.28
2011-01-02 09:00:00;;10.93;17.83;45.12
2011-01-02 10:00:00;;10.93;20.71;40.09
2011-01-02 11:00:00;;10.93;20.18;39.71
2011-01-02 12:00:00;;10.93;20.73;40.44
2011-01-02 13:00:00;;10.93;19.68;41.55
2011-01-02 14:00:00;;10.93;20.37;40.4
2011-01-02 15:00:00;;10.93;20.16;38.91
2011-01-02 16:00:00;;10.93;21.74;39.5
2011-01-02 17:00:00;;10.93;23.78;42.71
