year,PM10,NO2,O3
2011,22.390365093814005,23.424909837679564,45.93032430096466
2012,18.709417644551998,19.843312383991666,51.96967509495994
2013,19.429236919052016,21.71588006625387,48.47655483700214
2014,16.22567200463052,19.913896120230078,46.81595964974271
2015,17.83631506849315,21.16507969507679,52.07801099931282
2016,15.464071038251365,20.25729094025962,48.47303554316887
2017,15.663520547945206,20.362238159868706,51.078020639164116
2018,15.864151330019354,17.571672392897177,54.67073996733324
2019,15.12986301369863,16.386984992858252,54.98083435165974
2020,14.44084699453552,13.942449243009484,52.019168801611
2021,14.179426322561113,14.103195063196344,51.10589386233862
2022,15.223959332146173,14.207758024692438,55.866672867305766
2023,13.64611144087789,12.541712988036826,56.65610211860228
