date;PM2.5;PM10;NO2;O3
2011-01-01 00:00:00;;28.7;;4.21
2011-01-01 01:00:00;;28.7;44.26;1.07
2011-01-01 02:00:00;;28.7;42.84;1.64
2011-01-01 03:00:00;;28.7;46.9;1.0
2011-01-01 04:00:00;;28.7;44.36;1.25
2011-01-01 05:00:00;;28.7;43.3;2.23
2011-01-01 06:00:00;;28.7;41.32;1.65
2011-01-01 07:00:00;;28.7;41.68;1.97
2011-01-01 08:00:00;;28.7;38.94;3.42
2011-01-01 09:00:00;;28.7;34.97;6.13
2011-01-01 10:00:00;;28.7;32.87;8.6
2011-01-01 11:00:00;;28.7;34.85;8.31
2011-01-01 12:00:00;;28.7;37.98;9.46
2011-01-01 13:00:00;;28.7;36.51;11.89
2011-01-01 14:00:00;;28.7;39.59;30.39
2011-01-01 15:00:00;;28.7;43.65;26.83
2011-01-01 16:00:00;;28.7;50.27;23.23
2011-01-01 17:00:00;;28.7;47.87;24.56
2011-01-01 18:00:00;;28.7;37.24;30.42
2011-01-01 19:00:00;;28.7;28.26;36.45
2011-01-01 20:00:00;;28.7;27.7;33.52
2011-01-01 21:00:00;;28.7;24.76;34.9
2011-01-01 22:00:00;;28.7;27.52;30.65
2011-01-01 23:00:00;;28.7;25.68;33.27
2011-01-02 00:00:00;;11.11;;47.73
2011-01-02 01:00:00;;11.11;9.13;53.06
2011-01-02 02:00:00;;11.11;8.58;54.34
2011-01-02 03:00:00;;11.11;8.52;52.55
2011-01-02 04:00:00;;11.11;7.79;54.49
2011-01-02 05:00:00;;11.11;7.69;52.91
2011-01-02 06:00:00;;11.11;7.18;56.26
2011-01-02 07:00:00;;11.11;7.66;57.32
2011-01-02 08:00:00;;11.11;8.75;55.8
2011-01-02 09:00:00;;11.11;9.66;54.22
2011-01-02 10:00:00;;11.11;12.05;49.43
2011-01-02 11:00:00;;11.11;12.12;48.46
2011-01-02 12:00:00;;11.11;12.97;48.94
2011-01-02 13:00:00;;11.11;12.9;49.34
2011-01-02 14:00:00;;11.11;12.66;50.71
2011-01-02 15:00:00;;11.11;12.67;46.85
2011-01-02 16:00:00;;11.11;14.05;48.53
2011-01-02 17:00:00;;11.11;13.55;53.98
2011-01-02 18:00:00;;11.11;11.23;59.04
2011-01-02 19:00:00;;11.11;11.74;59.27
2011-01-02 20:00:00;;11.11;10.24;63.11
2011-01-02 21:00:00;;11.11;8.14;66.64
2011-01-02 22:00:00;;11.11;9.21;63.44
